,App Name,ratings,last updated,installs
0,Jazaa,4.8,"August 26, 2021","1,000+"
1,Char Grill Central,N/A,"August 9, 2021","1,000+"
2,The Fries Factory,4.2,"January 25, 2022",500+
3,Cheezy Bite,4.5,"January 3, 2022","1,000+"
4,Dough With The Flow,4.4,"January 26, 2022","1,000+"
5,Lettus Kitchens,4.7,"January 3, 2022",500+
6,OD Pakistan,N/A,"September 2, 2021",500+
7,Just Kitchen,N/A,"November 30, 2021","1,000+"
8,Kuchis,4.0,"August 23, 2021","5,000+"
9,Sweet Creme,4.2,"July 27, 2021","1,000+"
10,What a Paratha,3.6,"January 24, 2022","5,000+"
11,Spar Pakistan,3.3,"October 23, 2021","10,000+"
12,Royal Taj,4.3,"November 2, 2021","10,000+"
13,Burger Lab,2.8,"October 13, 2021","50,000+"
14,Second Cup Pakistan,3.8,"January 24, 2022","5,000+"
15,Kababjees Bakers,3.9,"August 23, 2021","10,000+"
16,Eat Mubarak - Online Food Delivery,3.7,"June 29, 2020","500,000+"
17,Karachi Hot N Spicy,3.6,"January 24, 2022","10,000+"
18,Applebee's,N/A,"October 7, 2021","1,000+"
19,IHOP UAE,N/A,"October 7, 2021","5,000+"
